id,open,high,low,close,volume,adj_close,company,exchange,date
151,126.53,127.44,126.1,127.35,53415300.0,127.35,AAPL,XNAS,2021-06-11
152,127.02,128.19,125.94,126.11,69880286.0,126.11,AAPL,XNAS,2021-06-10
153,127.21,127.75,126.52,127.13,54895704.0,127.13,AAPL,XNAS,2021-06-09
154,126.6,128.46,126.2101,126.74,72497627.0,126.74,AAPL,XNAS,2021-06-08
155,126.17,126.31,124.8321,125.9,68205494.0,125.9,AAPL,XNAS,2021-06-07
156,124.07,126.16,123.85,125.89,75087300.0,125.89,AAPL,XNAS,2021-06-04
157,124.68,124.85,123.13,123.54,75732834.0,123.54,AAPL,XNAS,2021-06-03
158,124.28,125.24,124.05,125.06,58418100.0,125.06,AAPL,XNAS,2021-06-02
159,125.08,125.35,123.945,124.28,63460425.0,124.28,AAPL,XNAS,2021-06-01
160,125.57,125.8,124.55,124.61,71232700.0,124.61,AAPL,XNAS,2021-05-28
161,126.44,127.64,125.28,125.28,86473226.0,125.28,AAPL,XNAS,2021-05-27
162,126.955,127.39,126.42,126.85,53175620.0,126.85,AAPL,XNAS,2021-05-26
163,127.82,128.3168,126.32,126.9,70119179.0,126.9,AAPL,XNAS,2021-05-25
164,126.01,127.935,125.94,127.1,61144792.0,127.1,AAPL,XNAS,2021-05-24
165,127.82,128.0,125.21,125.43,79209300.0,125.43,AAPL,XNAS,2021-05-21
166,125.23,127.7156,125.1,127.31,72824171.0,127.31,AAPL,XNAS,2021-05-20
167,123.16,124.915,122.88,124.69,85649375.0,124.69,AAPL,XNAS,2021-05-19
168,126.56,126.9878,124.78,124.85,59794196.0,124.85,AAPL,XNAS,2021-05-18
169,126.82,126.92,125.17,126.27,67867172.0,126.27,AAPL,XNAS,2021-05-17
170,126.25,127.88,125.85,127.45,77970942.0,127.45,AAPL,XNAS,2021-05-14
171,124.58,126.15,124.26,124.97,102137673.0,124.97,AAPL,XNAS,2021-05-13
172,123.4,124.64,122.25,122.77,107046695.0,122.77,AAPL,XNAS,2021-05-12
173,123.5,126.27,122.78,125.91,124362743.0,125.91,AAPL,XNAS,2021-05-11
174,129.41,129.54,126.81,126.85,85152395.0,126.85,AAPL,XNAS,2021-05-10
175,130.85,131.26,129.48,130.21,78892700.0,130.21,AAPL,XNAS,2021-05-07
176,127.89,129.75,127.1306,129.74,75870303.0,129.74,AAPL,XNAS,2021-05-06
177,129.2,130.44,127.9744,128.1,81207034.0,128.1,AAPL,XNAS,2021-05-05
178,131.19,131.4899,126.7,127.85,132893955.0,127.85,AAPL,XNAS,2021-05-04
179,132.04,134.07,131.83,132.54,72299748.0,132.54,AAPL,XNAS,2021-05-03
